sample,morph_closing_added_r21,morph_closing_added_r13,morph_opening_removed_r8,lacunarity_box10,autocorr_radial_mean,autocorr_drop_010,autocorr_drop_020,autocorr_drop_050,glcm_correlation_mean,fft_low_power,fft_mid_low_ratio,fft_spectral_entropy,local_entropy_mean_r5,local_entropy_p90_r5,local_std_p90_w9,grad_p99,grad_std,haar_detail_mean,laplace_mean_abs
IMG_6071.png,62.044124603271484,48.89536666870117,30.398836135864258,0.43838852643966675,0.07601786404848099,20.0,13.0,6.0,0.6025223440176747,2324826880.0,0.016144149005413055,9.639564514160156,3.6124640031469024,4.199808020187993,36.33839416503906,276.0398254394531,58.029930114746094,111.31927490234375,23.727558135986328
IMG_6072.png,80.30729675292969,66.66454315185547,52.226322174072266,0.3071896433830261,0.055118806660175323,16.0,9.0,3.0,0.4383709775719991,1719043328.0,0.07824058830738068,11.589290618896484,4.17476937161817,4.688533803164177,44.47257995605469,457.5652770996094,97.98309326171875,339.83807373046875,38.742149353027344
IMG_6073.png,88.72102355957031,73.25032043457031,58.67719650268555,0.23538115620613098,0.039508454501628876,11.0,7.0,3.0,0.38530822211371196,1536972416.0,0.10853680968284607,12.035209655761719,4.425794691656471,4.758206374014812,43.377479553222656,449.0595703125,96.10346221923828,396.2817077636719,43.126556396484375
IMG_6074.png,70.66436004638672,58.30351257324219,44.361328125,0.405378520488739,0.0711861103773117,24.0,10.0,4.0,0.5169411262118211,2046778624.0,0.04863830655813217,10.656496047973633,3.8734180630426263,4.411725737394187,42.25645446777344,388.56146240234375,81.95541381835938,195.5189971923828,26.58725357055664
IMG_6208.png,98.84335327148438,81.38036346435547,68.99866485595703,0.12185526639223099,0.014360864646732807,5.0,4.0,2.0,0.2699662814852144,1173137920.0,0.1851140558719635,12.838960647583008,4.5044928160109485,4.761905095129993,46.038604736328125,488.62152099609375,106.84077453613281,512.6708984375,50.62213134765625
IMG_6209.png,99.3801040649414,82.89244079589844,72.25785064697266,0.1112273558974266,0.014363653026521206,5.0,4.0,2.0,0.24980911752859555,1048637952.0,0.21478144824504852,13.116670608520508,4.6028501196707525,4.847333299309549,46.49293518066406,509.8431091308594,109.56278228759766,587.6718139648438,57.072383880615234
IMG_6210.png,105.43550872802734,86.62324523925781,71.92153930664062,0.11400558799505234,0.014306841418147087,5.0,3.0,2.0,0.2378703571644572,1020587456.0,0.21439899504184723,13.241622924804688,4.658821722285599,4.8909827629304115,46.09937286376953,501.35064697265625,109.1160659790039,633.171875,62.28914260864258
IMG_6211.png,91.4647216796875,73.54912567138672,64.94268035888672,0.1509866863489151,0.021367132663726807,6.0,4.0,2.0,0.3302422639128711,1378649600.0,0.15324851870536804,12.236185073852539,4.384509889573148,4.685167522645756,45.83167266845703,460.3113098144531,100.37225341796875,369.9001770019531,36.92534255981445
IMG_6268.png,102.97012329101562,86.97614288330078,71.9365005493164,0.12269601970911026,0.013122007250785828,4.0,3.0,2.0,0.24594219936775827,1008353664.0,0.2307463139295578,13.114697456359863,4.366503851565803,4.620272767125483,46.23583984375,511.136474609375,109.80464935302734,591.5426025390625,55.91167068481445
IMG_6269.png,106.99246978759766,88.8935317993164,76.67611694335938,0.0868813619017601,0.008884106762707233,4.0,3.0,2.0,0.20066992384437557,844256192.0,0.2767142653465271,13.538812637329102,4.526082567340835,4.738334269392137,46.314178466796875,518.6781005859375,111.75250244140625,707.6506958007812,67.38189697265625
